,Name,Price,Price per,Unit,Packet Size,Supermarket
6364,Ferrero Die Besten Weihnachten 2009 Pralinen Christmas,"8,99 €","2,25 €",Preis pro 100 Gramm,(Packung 400 Gramm),edeka
6365,Romy Kokos Pralinen,"1,59 €","0,91 €",Preis pro 100 Gramm,(Beutel 175 Gramm),edeka
6366,Sarotti Tiamo Trüffel Pralinen Geschenkpackung,"5,49 €","1,37 €",Preis pro 100 Gramm,(Packung 400 Gramm),edeka
6367,Sarotti Tiamo Trüffel Pralinen Dunkler Marc de Champagner,"1,59 €","1,27 €",Preis pro 100 Gramm,(Packung 125 Gramm),edeka
6368,Eszet Streusel Zart-Herb,"1,99 €","1,00 €",Preis pro 100 Gramm,(Packung 200 Gramm),edeka
6369,"Sarotti No.1 Erlesene Trüffel Pralinen Mix-Ecuador, Sao Thome, Java","2,09 €","1,67 €",Preis pro 100 Gramm,(Packung 125 Gramm),edeka
6370,"Nestle Kit Kat Osterhasen Mini, 4 x 20 g","1,99 €","2,49 €",Preis pro 100 Gramm,(Packung 80 Gramm),edeka
6371,After Eight Ostereier Gefüllt,"2,29 €","2,69 €",Preis pro 100 Gramm,(Packung 85 Gramm),edeka
6372,Milka Weihnachtsmischung,"2,99 €","1,71 €",Preis pro 100 Gramm,(Beutel 175 Gramm),edeka
6373,Karina Edel Marzipan Happen mit 35% Mandeln,"0,99 €","0,79 €",Preis pro 100 Gramm,(Packung 125 Gramm),edeka
6374,Sarotti Riegel Nougat Marzipan,"0,69 €","0,92 €",Preis pro 100 Gramm,(Riegel 75 Gramm),edeka
6375,Alprose Swiss Premium Dragees Mixed Selection,"1,49 €","1,19 €",Preis pro 100 Gramm,(Beutel 125 Gramm),edeka
6376,Nestle Smarties Weihnachtskugeln,"2,49 €","2,93 €",Preis pro 100 Gramm,(Packung 85 Gramm),edeka
6377,Delacre Tea Time 8 beliebtesten Gebäckstücke,"2,19 €","10,95 €",Preis pro 1 KG,(Packung 200 Gramm),edeka
6378,Delacre Sprits aux Fruits Himbeer,"1,19 €","0,88 €",Preis pro 100 Gramm,(Packung 135 Gramm),edeka
6379,Delacre Keksbolde Milch,"1,99 €","0,66 €",Preis pro 100 Gramm,(Packung 300 Gramm),edeka
6380,Nescafe Dolce Gusto Cappuccino Ice,"4,49 €","2,08 €",Preis pro 100 Gramm,(Packung 216 Gramm),edeka
6381,"Nescafe Dolce Gusto Latte Macchiato, ungesüsst, 16 Stück","4,49 €","2,67 €",Preis pro 100 Gramm,(Packung 168 Gramm),edeka
6382,"Caro Landkaffee Sticks Original, 10 x 2,2 g","0,99 €","4,50 €",Preis pro 100 Gramm,(Packung 22 Gramm),edeka
6383,Nescafe Latte Macchiato Original,"3,99 €","1,60 €",Preis pro 100 Gramm,(Dose 250 Gramm),edeka
6384,"Nestle Nesquik Magische Trinkhalme Schoko,10 x 37 g","2,99 €","0,81 €",Preis pro 100 Gramm,(Packung 370 Gramm),edeka
6385,Apollinaris Active Mineralwasser Apfel-Citron,"0,50 €","1,00 €",Preis pro 1 Liter,(Flasche (Kunststoff) 500 ML),edeka
6386,Sinalco Zitrone,"0,59 €","1,18 €",Preis pro 1 Liter,(Mehrwegflasche 0.5 L),edeka
6387,Sinalco Zitrone,"0,69 €","0,55 €",Preis pro 1 Liter,(Pet-Flasche 1.25 L),edeka
6388,"Heppinger Mineralwasser extra, 12 x 0,75 Liter, Mehrwegflasche","6,39 €","0,71 €",Preis pro 1 Liter,(Kasten 9 L),edeka
6389,Nescafe Xpress Vanilla,"1,29 €","0,52 €",Preis pro 100 ml,(Pet-Flasche 250 ML),edeka
6390,Nescafe Xpress Cappuccino White,"1,29 €","0,52 €",Preis pro 100 ml,(Pet-Flasche 250 ML),edeka
6391,Nescafe Xpress ICY,"1,29 €","0,52 €",Preis pro 100 ml,(Pet-Flasche 250 ML),edeka
6392,Rotkäppchen Riesling trocken,"3,99 €","5,32 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),edeka
6393,Criss Swimming Pool 5% Vol.,"1,99 €","2,65 €",Preis pro 1 Liter,(Flasche (Glas) 750 ML),edeka
6394,Geldermann Sekt Brut Nature,"12,99 €","17,32 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),edeka
6395,Geldermann Sekt Brut,"6,99 €","18,64 €",Preis pro 1 Liter,(Flasche (Glas) 375 ML),edeka
6396,Geldermann Sekt Carte Blanche Sec / Trocken,"2,39 €","11,95 €",Preis pro 1 Liter,(Flasche (Glas) 0.2 L),edeka
6397,Geldermann Sekt Carte Blanche Sec / Trocken,"4,49 €","11,97 €",Preis pro 1 Liter,(Flasche (Glas) 375 ML),edeka
6398,Geldermann Sekt Carte Blanche Sec / Trocken,"49,99 €","16,66 €",Preis pro 1 Liter,(Flasche (Glas) 3 L),edeka
6399,Rotkäppchen Sekt Superb Sekt Halbtrocken,"4,99 €","6,65 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),edeka
6400,Rotkäppchen Superb Sekt Extra Trocken,"4,99 €","6,65 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),edeka
6401,Mumm Dry Sekt mit Geschenkpackung,"1,79 €","8,95 €",Preis pro 1 Liter,(Flasche (Glas) 0.2 L),edeka
6402,Rotkäppchen Sekt Tradition Mild,"3,99 €","5,32 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),edeka
6403,Doornkaat 38 % Vol.,"0,99 €","24,75 €",Preis pro 1 Liter,(Flasche (Glas) 40 ML),edeka
6404,Winkelhausen Weinbrand 36 % Vol.,"1,39 €","13,90 €",Preis pro 1 Liter,(Flasche (Glas) 100 ML),edeka
6405,"Puschkin Time Warp 17,7 Vol.","6,49 €","9,27 €",Preis pro 1 Liter,(Flasche (Glas) 700 ML),edeka
6406,Polar Limes Passionfruit 15 % Vol.,"5,79 €","11,58 €",Preis pro 1 Liter,(Flasche (Glas) 500 ML),edeka
6407,"Berentzen Minis Party-Mix 24 x 0,02 L","9,99 €","20,81 €",Preis pro 1 Liter,(Becher 480 ML),edeka
6408,Purina Gourmet Gold Feine Pastete mit Thunfisch,"0,49 €","0,58 €",Preis pro 100 Gramm,(Dose 85 Gramm),edeka
6409,Purina Gourmet Zarte Stückchen mit Huhn & Pute,"0,49 €","0,25 €",Preis pro 100 Gramm,(Dose 195 Gramm),edeka
6410,Purina Gourmet Zarte Stückchen mit Forelle & Lachs,"0,49 €","0,25 €",Preis pro 100 Gramm,(Dose 195 Gramm),edeka
6411,"Felix So gut wie es aussieht Adult mit Huhn & Rind,  4 x 100 g","1,39 €","0,35 €",Preis pro 100 Gramm,(Multipackung 400 Gramm),edeka
6412,Felix Stubenracker Geflügel,"2,45 €","2,45 €",Preis pro 1 KG,(Packung 1000 Gramm),edeka
