,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
1322,K Classic Nürnberger Rostbratwürstchen,1.99,100 Gramm,Packung 300 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.66
1323,Purland Schinken Fleischwurst im Ring,1.99,100 Gramm,Packung 650 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.306
1324,"Purland Grober Leberkäse nach bayerischer Art, grob",1.89,100 Gramm,Packung 400 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.47300000000000003
1325,Jensens Pate Luxus-Leber,1.29,100 Gramm,Schale 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.61
1326,Jensens Pate Gänse,1.29,100 Gramm,Schale 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.61
1327,Herta Finesse saftiger Schinken hauchzart,2.79,100 Gramm,"Doppelpack 300 Gramm, 2 x 150 g",kaufland,Fleisch Wurst Aufschnitt,0.93
1328,Ferdi Fuchs Mini Würstchen Mini Fleisch-Würstchen,1.95,100 Gramm,"XXL Pack 250 Gramm, 10 Stück",kaufland,Fleisch Wurst Aufschnitt,0.78
1329,Wiltmann Leber Pastete mit Hirschfleisch,1.49,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.49
1330,Gutsmuehle Hähnchen Streifen gebraten,1.75,100 Gramm,Packung 150 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.17
1331,Herta Genuss Momente Kochschinken -25% Natrium,1.89,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.89
1332,Purland Schweine Hackfleisch,2.19,100 Gramm,Packung 500 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.438
1333,Purland Schweinenacken/-kamm mit Knochen am Stück,4.69,100 Gramm,Vakuum 1 KG,kaufland,Fleisch Wurst Aufschnitt,0.46900000000000003
1334,Purland Schweinegulasch pfannenfertig geschnitten,5.29,100 Gramm,Vakuum 1 KG,kaufland,Fleisch Wurst Aufschnitt,0.529
1335,K Purland Schälrippchen / Spareribs,3.33,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.333
1336,K Purland Schinkeneisbein vom Schwein,3.49,100 Gramm,Folie 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.34900000000000003
1337,K Purland Schweineschnitzel,5.98,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.5980000000000001
1338,Purland Schweinerücken,6.99,100 Gramm,Vakuum 1 KG,kaufland,Fleisch Wurst Aufschnitt,0.6990000000000001
1339,K Purland Gulasch gemischt vom Schwein und Rind,3.99,100 Gramm,Packung 500 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.798
1340,Purland Rinderschmorbraten vom Bug,9.99,100 Gramm,Vakuum 1 KG,kaufland,Fleisch Wurst Aufschnitt,0.999
1341,K Purland Hackepeter fertig gewürzt,1.19,100 Gramm,Packung 250 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.48
1342,K Exquisit Jamon Serrano Reserva,1.29,100 Gramm,Vakuum 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.61
1343,K Purland Frisches Rinderfondue vom Jungbullen,2.99,100 Gramm,"Glas 540 Gramm, 6 Stück",kaufland,Fleisch Wurst Aufschnitt,0.55
