,Name,Price,Price per,Unit,Packet Size,Supermarket
3828,"Milkana Runddose Schmelzkäse Leichte Vielfalt, 8 x 25 g","1,69 €","1,13 €",Preis pro 100 Gramm,(Becher 150 Gramm),edeka
3829,"Bresso Leichtgenuss  Frischkäse mit feinen Kräutern, 8% Fett","1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka
3830,Bresso Thunfisch Aufstrich mit sonnengereiften Oliven,"1,69 €","1,13 €",Preis pro 100 Gramm,(Becher 150 Gramm),edeka
3831,Wagner La Pizza Rusticale Salame Cipolla,"1,59 €","1,06 €",Preis pro 100 Gramm,(Becher 150 Gramm),edeka
3832,Wagner La Pizza Rusticale Peperoncini Piccante,"2,49 €","0,71 €",Preis pro 100 Gramm,(Packung 350 Gramm),edeka
3833,Nestle Schöller Big Sandwich,"2,49 €","0,71 €",Preis pro 100 Gramm,(Packung 350 Gramm),edeka
3834,Mövenpick Eiscreme Marzipan Chocolate,"1,00 €","7,14 €",Preis pro 1 Liter,(Packung 140 ML),edeka
3835,Mövenpick Eiscreme Mirabelle Mascarpone,"3,19 €","3,54 €",Preis pro 1 Liter,(Packung 900 ML),edeka
3836,Mövenpick Schätze der Welt Almendras estilo Andaluz,"3,19 €","3,54 €",Preis pro 1 Liter,(Packung 900  ML),edeka
3837,"Mövenpick Mystere Coco di Cioccolata, 4 Stück","4,99 €","9,98 €",Preis pro 1 Liter,(Becher 500 ML),edeka
3838,Mövenpick Choc Eis Vanilla,"3,99 €","7,67 €",Preis pro 1 Liter,(Packung 520 ML),edeka
3839,"Omira Haltbare fettarme Milch H-Milch, 1,5% Fett","1,70 €","1,89 €",Preis pro 100 ml,(Packung 90 ML),edeka
3840,Thomy Senf Süßer,"1,39 €","0,46 €",Preis pro 100 Gramm,(Packung 300 Gramm),edeka
3841,Thomy Gourmet Sahne Meerrettich sahnig scharf,"0,79 €","0,79 €",Preis pro 100 ml,(Tube 100 ML),edeka
3842,Thomy Sandwich Creme,"1,29 €","1,52 €",Preis pro 100 Gramm,(Tube 85 Gramm),edeka
3843,Maggi Internationale Würzsauce Chakalaka,"1,49 €","0,60 €",Preis pro 100 ml,(Flasche (Kunststoff) 250 ML),edeka
3844,Thomy Senf Süßer,"1,79 €","0,36 €",Preis pro 100 ml,(Flasche (Glas) 500 ML),edeka
3845,Maggi Marinado Curry,"1,09 €","0,44 €",Preis pro 100 ml,(Glas 250 ML),edeka
3846,Maggi Marinado Kräuter der Provence,"1,19 €","1,59 €",Preis pro 100 Gramm,(Beutel 75 Gramm),edeka
3847,"Maggi Natur Pur Bio Salatsauce Paprika Kräuter, 3 x 15 g","1,19 €","1,59 €",Preis pro 100 Gramm,(Beutel 75 Gramm),edeka
3848,"Maggi Natur Pur Bio Salatsauce Küchenkräuter, 3 x 15 g","0,99 €","2,20 €",Preis pro 100 Gramm,(Beutel 45 Gramm),edeka
3849,"Ruf Blattgelatine weiß,12 Blatt","0,99 €","2,20 €",Preis pro 100 Gramm,(Beutel 45 Gramm),edeka
3850,"Ruf Tortenguss rot, 3 x 12 g","0,89 €","0,07 €",Preis pro Stück,(Packung 12 Stück),edeka
3851,"BioGourmet Pflaumen getrocknet, entsteint","0,19 €","0,53 €",Preis pro 100 Gramm,(Packung 36 Gramm),edeka
3852,Gaggli Frischeier Nudeln Spiralen,"3,99 €","15,96 €",Preis pro 1 KG,(Packung 250 Gramm),edeka
3853,Gaggli Frischeier Nudeln Bandnudeln breit,"1,25 €","5,00 €",Preis pro 1 KG,(Packung 250 Gramm),edeka
3854,"Maggi Knödel Halb & Halb, 12 Stück","1,25 €","5,00 €",Preis pro 1 KG,(Packung 250 Gramm),edeka
3855,Maggi Würz Würfel Knoblauch,"0,79 €","2,93 €",Preis pro 100 Gramm,(Packung 27 Gramm),edeka
3856,Maggi Würzmischung 4 knackige Salate,"0,99 €","3,00 €",Preis pro 100 Gramm,(Packung 33 Gramm),edeka
3857,Thomy Les Sauces Kräuter-Hollandaise legere 9% Fett,"1,59 €","2,65 €",Preis pro 100 Gramm,(Glas 60 Gramm),edeka
3858,Thomy Les Sauces Bearnaise legere 8% Fett,"0,99 €","0,40 €",Preis pro 100 ml,(Getränkekarton 250 ML),edeka
3859,Maggi Bratensaft 4 x 18 g,"0,99 €","0,40 €",Preis pro 100 ml,(Getränkekarton 250 ML),edeka
3860,Maggi Soße zu Braten für 3 Liter,"1,39 €","19,31 €",Preis pro 1 KG,(Packung 72 Gramm),edeka
3861,"Maggi Meisterklasse Blumenkohl-Broccoli Suppe mit Schinken, 2 Teller","2,99 €","12,46 €",Preis pro 1 KG,(Dose 240 Gramm),edeka
3862,Maggi Meisterklasse Champignon-Cremesuppe,"0,79 €","1,27 €",Preis pro 100 Gramm,(Beutel 62 Gramm),edeka
3863,Maggi Meisterklasse Flädlesuppe,"0,79 €","1,46 €",Preis pro 100 Gramm,(Beutel 54 Gramm),edeka
3864,Maggi Meisterklasse Sauce a l Orange,"0,79 €","1,76 €",Preis pro 100 Gramm,(Beutel 45 Gramm),edeka
3865,Maggi fix & frisch Kartoffel Gratin,"0,79 €","2,39 €",Preis pro 100 Gramm,(Beutel 33 Gramm),edeka
3866,Maggi fix & frisch Gulasch,"0,75 €","1,56 €",Preis pro 100 Gramm,(Beutel 48 Gramm),edeka
3867,Maggi fix & frisch Jäger-Topf Hubertus,"0,75 €","1,74 €",Preis pro 100 Gramm,(Beutel 43 Gramm),edeka
3868,Maggi fix & frisch China-Pfanne Chop Suey,"0,75 €","2,50 €",Preis pro 100 Gramm,(Beutel 30 Gramm),edeka
3869,Maggi Meisterklasse Frühlingskräuter-Sauce fettarm,"0,75 €","1,97 €",Preis pro 100 Gramm,(Beutel 38 Gramm),edeka
3870,Maggi Meisterklasse Edelpilz-Sauce fettarm,"8,75 €","14,58 €",Preis pro 1 KG,(Packung 600 Gramm),edeka
3871,Maggi Guten Appetit Zwiebelsuppe 4 Teller,"0,79 €","2,26 €",Preis pro 100 Gramm,(Packung 35 Gramm),edeka
3872,Maggi Meisterklasse Champignon-Sauce fettarm,"0,65 €","1,16 €",Preis pro 100 Gramm,(Beutel 56 Gramm),edeka
3873,Maggi fix & frisch Ofen-Kartoffeln mit Hackfleisch,"0,79 €","2,47 €",Preis pro 100 Gramm,(Packung 32 Gramm),edeka
3874,Maggi Schnelle Pfanne India,"0,75 €","1,97 €",Preis pro 100 Gramm,(Beutel 38 Gramm),edeka
3875,Maggi La Pasta Vegetarische Sauce Bolognese Hot Chili fettarm,"1,19 €","1,80 €",Preis pro 100 Gramm,(Packung 66 Gramm),edeka
3876,Maggi Meisterklasse Rucola-Cremesuppe mit Parmesan,"0,79 €","1,72 €",Preis pro 100 Gramm,(Packung 46 Gramm),edeka
3877,"Maggi Guten Appetit Erbsensuppe mit Speck, 3 Teller","0,79 €","1,76 €",Preis pro 100 Gramm,(Beutel 45 Gramm),edeka
3878,Maggi Moderner Kochen mit Horst Lichter Überbackene Camembert-Medaillons,"0,65 €","1,14 €",Preis pro 100 Gramm,(Beutel 57 Gramm),edeka
3879,"Maggi Guten Appetit Hühnersuppe Sonne, Mond & Sterne, 3 Teller","0,99 €","2,41 €",Preis pro 100 Gramm,(Beutel 41 Gramm),edeka
3880,Nestle Beba 1 PRO Anfangsmilch von Geburt an,"0,65 €","1,27 €",Preis pro 100 Gramm,(Beutel 51 Gramm),edeka
3881,Nestle Beba Sensitive Spezialnahrung von Geburt an,"11,75 €","14,69 €",Preis pro 1 KG,(Packung 800 Gramm),edeka
3882,Alete Buntes Kartoffelgemüse mit Fleischbällchen ab dem 18. Monat,"10,95 €","18,25 €",Preis pro 1 KG,(Packung 600 Gramm),edeka
3883,Alete Rahmkarotten mit Reis und Bio-Geflügel ab dem 12. Monat,"1,35 €","0,54 €",Preis pro 100 Gramm,(Glas 250 Gramm),edeka
3884,Nestle Beba PRO 2 Folgemilch ab dem 6. Monat,"1,35 €","0,54 €",Preis pro 100 Gramm,(Glas 250 Gramm),edeka
3885,Nestle Sinlac allergenarmer Spezial-Brei nach dem 4. Monat,"3,99 €","0,69 €",Preis pro 100 ml,(Glas 580 ML),edeka
3886,Maggi 5 Minuten Terrine Kartoffelbrei mit Fleischklößchen,"5,95 €","1,19 €",Preis pro 100 Gramm,(Packung 500 Gramm),edeka
3887,Maggi Ein Teller Nudeltopf mit Fleischklößchen,"0,99 €","1,98 €",Preis pro 100 Gramm,(Becher 50 Gramm),edeka
3888,"Maggi La Pasta di Maggi Maccaroncini in Schinken-Sahne-Sauce, 2 Portionen","1,09 €","3,35 €",Preis pro 1 KG,(Dose 325 Gramm),edeka
3889,Maggi Magic Asia Terrine Grüne Thai Suppe,"1,39 €","0,93 €",Preis pro 100 Gramm,(Packung 150 Gramm),edeka
3890,Libbys Fruchtcocktail Natursüß,"0,99 €","1,80 €",Preis pro 100 Gramm,(Becher 55 Gramm),edeka
3891,Libbys Ananas Dessert Stücke,"0,99 €","4,19 €",Preis pro 1 Liter,(Dose 236 ML),edeka
3892,Libbys Fruchtcocktail,"0,99 €","4,19 €",Preis pro 1 Liter,(Dose 236 ML),edeka
3893,Libbys Pfirsiche Halbe Frucht,"1,99 €","2,34 €",Preis pro 1 Liter,(Dose 850 ML),edeka
3894,Libbys Aprikosen Halbe Frucht,"1,59 €","1,93 €",Preis pro 1 KG,(Dose 825 Gramm),edeka
3895,"Libbys Ananas in Scheiben, 8 Stück","1,59 €","3,74 €",Preis pro 1 Liter,(Dose 425 ML),edeka
3896,Libbys Tortenpfirsiche in Schnitten,"1,69 €","1,99 €",Preis pro 1 Liter,(Dose 850 ML),edeka
3897,Libbys Natursüß Williams Christ Birnen Halbe Frucht,"1,99 €","2,34 €",Preis pro 1 Liter,(Dose 850 ML),edeka
3898,Libbys Natursüß Aprikosen Halbe Frucht,"1,29 €","3,04 €",Preis pro 1 Liter,(Dose 425 ML),edeka
3899,Libbys Stangenspargel,"1,59 €","3,74 €",Preis pro 1 Liter,(Dose 425 ML),edeka
3900,Mestemacher Pumpernickel Echt westfälischer,"1,89 €","0,95 €",Preis pro 100 Gramm,(Packung 200 Gramm),edeka
3901,Karina Weisse Crisp Schokolade,"0,99 €","3,96 €",Preis pro 1 KG,(Packung 250 Gramm),edeka
3902,Milka Joghurt Schokolade,"1,19 €","0,60 €",Preis pro 100 Gramm,(Tafel 200 Gramm),edeka
3903,Sarotti Orange-Ingwer Schokolade nur für kurze Zeit,"0,79 €","0,79 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
3904,Nestle Die Schwarze Crisp,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
3905,Milka Kleine Versuchung Alpenmilch 24 x 10 g Täfelchen,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
3906,After Eight My Favourite,"2,89 €","1,20 €",Preis pro 100 Gramm,(Tafel 240 Gramm),edeka
3907,Nestle Kit Kat Extra Creamy Extra Crispy,"3,49 €","2,33 €",Preis pro 100 Gramm,(Packung 150 Gramm),edeka
3908,Nestle Lion,"0,60 €","1,33 €",Preis pro 100 Gramm,(Riegel 45 Gramm),edeka
3909,Nestle Kit Kat Senses,"0,55 €","1,22 €",Preis pro 100 Gramm,(Riegel 45 Gramm),edeka
3910,Alpia Diät Vollmilch Schokolade mit Fruchtzucker,"0,75 €","2,42 €",Preis pro 100 Gramm,(Riegel 31 Gramm),edeka
3911,"Alpia Diät Knusperlust mit Cornflakes, Mandelsplitter und Fruchtzucker","0,79 €","0,79 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
3912,"Eszet Schnitten Schokolade Vollmilch-Nuss, 8 Stück","1,99 €","1,00 €",Preis pro 100 Gramm,(Packung 200 Gramm),edeka
3913,After Eight Fine Sticks,"0,69 €","0,92 €",Preis pro 100 Gramm,(Packung 75 Gramm),edeka
3914,Nestle Choco Crossies Feinherb,"2,69 €","2,15 €",Preis pro 100 Gramm,(Dose 125 Gramm),edeka
3915,Nestle Choclait Chips Erdbeer-Joghurt,"3,99 €","15,96 €",Preis pro 1 KG,(Dose 250 Gramm),edeka
3916,After Eight Lemon,"1,89 €","1,29 €",Preis pro 100 Gramm,(Packung 147 Gramm),edeka
3917,Nestle Choclait Chips Amaretto,"3,69 €","1,23 €",Preis pro 100 Gramm,(Packung 300 Gramm),edeka
3918,After Eight Fine Dark Chocolates,"1,89 €","1,29 €",Preis pro 100 Gramm,(Packung 147 Gramm),edeka
3919,Nestle Choco Crossies Pop Choc,"3,69 €","2,73 €",Preis pro 100 Gramm,(Packung 135 Gramm),edeka
3920,Milka I love Milka Hauchzarte Herzen Zartherb,"1,59 €","1,14 €",Preis pro 100 Gramm,(Packung 140 Gramm),edeka
3921,Nestle Smarties Multipack 3 x 38 g,"1,99 €","1,53 €",Preis pro 100 Gramm,(Packung 130 Gramm),edeka
3922,Haribo Frucht Schnecken,"1,59 €","1,39 €",Preis pro 100 Gramm,(Packung 114 Gramm),edeka
3923,Nestle Smarties Fruity Multipack 3 x 40 g,"0,85 €","0,49 €",Preis pro 100 Gramm,(Beutel 175 Gramm),edeka
3924,Bahlsen Dip it! Kakao Schokostückchen,"1,49 €","1,24 €",Preis pro 100 Gramm,(Packung 120 Gramm),edeka
3925,Bahlsen Akora Edelherb,"1,19 €","0,60 €",Preis pro 100 Gramm,(Packung 200 Gramm),edeka
3926,Nescafe frappe Original,"0,89 €","0,59 €",Preis pro 100 Gramm,(Beutel 150 Gramm),edeka
3927,Nescafe Cafe au Lait,"0,49 €","1,23 €",Preis pro 100 Gramm,(Beutel 40 Gramm),edeka
3928,Nescafe Cappuccino International Vanilla,"3,49 €","1,40 €",Preis pro 100 Gramm,(Dose 250 Gramm),edeka
3929,Nescafe Cappuccino Weniger süß,"3,19 €","9,11 €",Preis pro 1 KG,(Dose 350 Gramm),edeka
3930,"Sarotti Kakao Kochen,Backen und Desserts","3,29 €","1,91 €",Preis pro 100 Gramm,(Packung 172 Gramm),edeka
3931,"Nescafe Dolce Gusto Chococino, 16 Stück","1,69 €","1,35 €",Preis pro 100 Gramm,(Packung 125 Gramm),edeka
3932,Müller Fructiv Grapefruit-Dragonfruit,"4,49 €","1,66 €",Preis pro 100 Gramm,(Packung 270 Gramm),edeka
3933,Sagrotan WC-Reiniger 4 in 1,"0,85 €","1,93 €",Preis pro 1 KG,(Pet-Flasche 440 Gramm),edeka
3934,Neutrogena Körperlotion Norwegische Formel,"2,75 €","3,67 €",Preis pro 1 Liter,(Flasche (Kunststoff) 750 ML),edeka
3935,"bebe Young Care 3 in 1 pflegende Reinigungstücher für empfindliche, trockene Haut","4,45 €","1,48 €",Preis pro 100 ml,(Dosierflasche 300 ML),edeka
3936,Fa  Duschpflege Joghurt Vanilla Honey,"2,25 €","0,09 €",Preis pro Stück,(Packung 25 Stück),edeka
3937,Bübchen Sonnen Milch LSF 30,"1,35 €","0,54 €",Preis pro 100 ml,(Flasche (Kunststoff) 250 ML),edeka
3938,"Hipp Hippness Crisp Schoko & Nuss, ohne Rosinen","4,99 €","3,33 €",Preis pro 100 ml,(Flasche (Kunststoff) 150 ML),edeka
3939,"Mövenpick Gourmet-Frühstück Erdbeere, 55% Fruchtanteil","2,29 €","5,73 €",Preis pro 1 KG,(Beutel 400 Gramm),edeka
3940,Knorr Fix Arrabbiata mit Hackfleisch,"2,09 €","0,84 €",Preis pro 100 Gramm,(Glas 250 Gramm),edeka
3941,Bautzner Senf mittelscharf,"0,49 €","1,02 €",Preis pro 100 Gramm,(Beutel 48 Gramm),edeka
3942,Hartls Jägertee,"0,44 €","0,22 €",Preis pro 100 ml,(Becher 200 ML),edeka
3943,Settele Lange Spätzle,"8,49 €","16,98 €",Preis pro 1 Liter,(Flasche (Glas) 0.5 L),edeka
3944,Argenta Süße Träume Mascarpone & Buttermilch,"1,79 €","1,79 €",Preis pro 1 KG,(Packung 1000 Gramm),edeka
3945,Speisezwiebeln,"8,88 €","1,48 €",Preis pro Stück,(Packung 6 Stück),edeka
3946,Knoblauch,"0,99 €","0,99 €",Preis pro 1 KG,(Beutel 1.0 KG),edeka
3947,Paprika gelb,"9,90 €","0,99 €",Preis pro 100 Gramm,(Zopf 1 KG),edeka
3948,Paprika rot,"4,99 €","4,99 €",Preis pro 1 KG,( 1 KG),edeka
3949,Feigen frisch,"4,99 €","4,99 €",Preis pro 1 KG,(Beutel 1 KG),edeka
3950,Feldsalat küchenfertig,"0,79 €","0,00 €",Preis pro 1 KG,(1 Stück),edeka
3951,Grapefruit Star Ruby,"1,29 €","0,86 €",Preis pro 100 Gramm,(Packung 150 Gramm),edeka
3952,Rettich weiß Deutschland Kl. 1,"0,99 €","0,99 €",Preis pro Stück,( 1 Stück),edeka
3953,Ur-Krostitzer Pilsner,"1,79 €","1,79 €",Preis pro Stück,( 1 Stück),edeka
3954,Brunch Brotaufstrich Schoko Creme,"9,99 €","1,00 €",Preis pro 1 Liter,(Kasten 10 L),edeka
3955,Iglo 6 RIESEN Fisch Sticks,"0,88 €","0,48 €",Preis pro 100 Gramm,(Becher 185 Gramm),edeka
3956,Iglo Blattspinat ganze Blätter,"1,66 €","4,61 €",Preis pro 1 KG,(Packung 360 Gramm),edeka
3957,Deutscher Spargel weiss frisch,"1,69 €","3,76 €",Preis pro 1 KG,(Packung 450  Gramm),edeka
3958,Nadler Sommer Knüller Krautsalat,"5,90 €","5,90 €",Preis pro 1 KG,"(Bund weiß violett, 16mm+, Kl. II, Deutschland)",edeka
3959,Gillette Mach3 Rasierklingen + Rasierer 6 Rasierklingen + gratis Rasierer,"1,55 €","1,55 €",Preis pro 1 KG,(Becher 1000 Gramm),edeka
3960,Abbelen Frikolinos,"4,79 €","15,97 €",Preis pro 1 KG,(Packung 300 Gramm),edeka
3961,Lorenzo Pizza Spezial,"1,28 €","4,27 €",Preis pro 1 KG,(Packung 300 Gramm),edeka
3962,bio Zentrale Knäckebrot Vollkorn Roggen Hefefrei,"2,22 €","5,55 €",Preis pro 1 KG,(Folie 400 Gramm),edeka
3963,Nick Hot Chilisauce scharf,"1,79 €","0,72 €",Preis pro 100 Gramm,(Packung 250 Gramm),edeka
3964,Nick Indian Curry Sauce süß & scharf,"1,99 €","1,42 €",Preis pro 100 ml,(Glas 140 ML),edeka
3965,Nick Caribbean Banana Sauce fruchtig & würzig,"1,99 €","1,42 €",Preis pro 100 ml,(Glas 140 ML),edeka
3966,Altenburger Original Tomaten Ketchup,"1,99 €","1,42 €",Preis pro 100 ml,(Glas 140 ML),edeka
3967,Altenburger Original Senf mittelscharf,"1,49 €","5,96 €",Preis pro 1 Liter,(Flasche (Squeeze) 250 ML),edeka
3968,belVita Frühstückskeks Nuss mit Schokoladenstückchen,"1,65 €","0,41 €",Preis pro 100 Gramm,(Packung 400 Gramm),edeka
3969,Dr. Oetker Pudding Marmorette Bourbon Vanille mit Splits,"1,65 €","0,41 €",Preis pro 100 Gramm,(Packung 400 Gramm),edeka
3970,Kühlmann Tzatziki mit frischen Gurken,"1,89 €","6,30 €",Preis pro 1 KG,(Becher 300 Gramm),edeka
3971,Original Wagner Steinofen Pizza Mozzarella,"2,59 €","0,74 €",Preis pro 100 Gramm,(Packung 350 Gramm),edeka
3972,Block House  American Burger,"6,49 €","12,98 €",Preis pro 1 KG,(Packung 500 Gramm),edeka
3973,"McCain Rösti frisch geraspelt und knusprig, 3-4 Portionen","1,59 €","3,53 €",Preis pro 1 KG,(Packung 450 Gramm),edeka
3974,Karamalz Fresh Lemon,"4,68 €","11,70 €",Preis pro 1 KG,(Packung 400 Gramm),edeka
3975,Geramont Cremig-Würzig 56% Fett,"3,29 €","1,66 €",Preis pro 1 Liter,"(Pack 1.98 L, 6 x 0,33L)",edeka
