,Name,Price,Price per,Unit,Packet Size,Supermarket
2848,"Aldi Süd Rostbratwurst nach spanischer Art, 8 Stück","1,79 €","2,39 €",Preis pro 1 KG,(Packung 750 Gramm),aldi-sued
2849,"Aldi Süd Rostbratwurst nach italienischer Art, 8 Stück","1,79 €","4,48 €",Preis pro 1 KG,(Schale 400 Gramm),aldi-sued
2850,"Aldi Süd Lamm Steaks küchenfertig zubereitet, 5 - 6 Stück","1,99 €","0,66 €",Preis pro 1 Liter,(Pack 3 L),aldi-sued
2851,"Roi de Trefle französischer Weichkäse 9 zarte Scheiben, 60 % Fett","0,39 €","0,26 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
2852,"Be Light Bonbons 2-er Joghurt und Frucht,  2 x 44 g","2,35 €","1,18 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2853,Multinorm Calciumtabletten,"0,99 €","1,13 €",Preis pro 100 Gramm,(Packung 88 Gramm),aldi-sued
2854,Il Tizio Eisbecher Tiramisu,"0,69 €","0,70 €",Preis pro 100 Gramm,(Packung 98 Gramm),aldi-sued
2855,Il Tizio Eisbecher Vanille Schoko,"1,79 €","2,39 €",Preis pro 1 Liter,(Becher 750 ML),aldi-sued
2856,Il Tizio Eisbecher Kaffee,"1,79 €","2,39 €",Preis pro 1 Liter,(Becher 750 ML),aldi-sued
2857,Desira Pudding Dessert gestrudelt Schoko Vanilla,"1,79 €","2,39 €",Preis pro 1 Liter,(Becher 750 ML),aldi-sued
2858,Desira Pudding Dessert gestrudelt Karamell Pudding Sahne,"0,35 €","0,23 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
2859,Caribic Deo Spray Fresh Spirit,"0,35 €","0,23 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
2860,"Be Light Bonbons 2-er Multi Vitamin, 2 x 44 g","0,89 €","0,45 €",Preis pro 100 ml,(Spraydose 200 ML),aldi-sued
2861,"Sonnenhof Maasdamer in Scheiben, 45 % Fett","0,99 €","1,13 €",Preis pro 100 Gramm,(Packung 88 Gramm),aldi-sued
2862,Olivia / Aldi Süd Slipeinlagen normal,"1,09 €","0,55 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2863,"Desira Edler Sahne Joghurt Pfirsich-Maracuja,extra cremig, 10 % Fett im Milchanteil.","1,19 €","2,64 €",Preis pro 100 Stück,(Packung 45 Stück),aldi-sued
2864,"Desira Edler Sahne Joghurt Straciatella, extra cremig, 10 % Fett im Milchanteil.","0,39 €","0,26 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
2865,"Desira Edler Sahne Joghurt Kirsche,extra cremig, 10 % Fett im Milchanteil.","0,39 €","0,26 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
2866,"Desira Edler Sahne Joghurt Erdbeere, extra cremig, 10 % Fett im Milchanteil.","0,59 €","0,04 €",Preis pro Stück,(Packung 14 Stück),aldi-sued
2867,"Grandessa Fruchtaufstrich Erdbeer, 75% Fruchtanteil","1,99 €","3,32 €",Preis pro 1 KG,(Packung 600 Gramm),aldi-sued
2868,"Grandessa Fruchtaufstrich Schwarzkirsch,75% Fruchtanteil","0,69 €","0,35 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2869,Knusperone Vollkorn Ringe,"0,69 €","0,35 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2870,Aldi Süd Bierwurst,"1,99 €","1,99 €",Preis pro 100 ml,(Tube 100 ML),aldi-sued
2871,"Ombia Sun Sonnencreme klassik,  LSF 20","1,99 €","1,99 €",Preis pro 100 ml,(Tube 100 ML),aldi-sued
2872,"Ombia Sun Sonnencreme sensitiv,  LSF 20","3,29 €","1,65 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2873,Cucina Carpaccio mit Parmesan Käse,"0,80 €","0,32 €",Preis pro 100 ml,(Flasche (Glas) 250 ML),aldi-sued
2874,Cucina Natives Olivenöl Extra mit Basilikum,"2,19 €","1,10 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2875,"Roi de Trefle Französischer Schnittkäse Grand Classique, in Scheiben, 50 % Fett","1,79 €","0,95 €",Preis pro 100 Gramm,(Tafel 187.5 Gramm),aldi-sued
2876,"Moser Roth Mousse au Chocolat Sauerkirsch-Chili, 5 feine Tafeln","1,35 €","1,35 €",Preis pro 100 Gramm,(Beutel 100 Gramm),aldi-sued
2877,Back Family Mandeln gemahlen,"0,65 €","0,33 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
