,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
15,324,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,rewe,0.79,652,1.19,100 Gramm,Beutel 175 Gramm,aldi-sued,0.68
16,386,Weihenstephan Frische Tafelbutter 82% Fett,0.77,100 Gramm,Becher 150  Gramm,rewe,0.51,279,1.49,100 Gramm,Packung 250  Gramm,aldi-sued,0.6
17,407,Ferrero Milchschnitte,0.99,100 Gramm,"5 x 28 g, Packung 140 Gramm",rewe,0.71,646,1.79,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-sued,0.64
18,412,Pfanner Der Grüne Tee Zitrone-Kaktusfeige,1.11,100 ml,Getränkekarton 2 L,rewe,0.056000000000000015,649,0.99,100 ml,Getränkekarton 2 L,aldi-sued,0.05
19,583,Ferrero Küsschen,2.25,100 Gramm,"Packung 124 Gramm, 14 Pralinen",rewe,1.81,280,2.99,100 Gramm,"Packung 178 Gramm, 20 Stück",aldi-sued,1.68
20,589,Schwartau Extra Samt Erdbeere,1.49,100 Gramm,Glas 270 Gramm,rewe,0.55,1317,1.39,100 Gramm,Glas 270 Gramm,aldi-sued,0.51
21,600,Krombacher Pils,10.79,100 ml,"Kasten 10 L, 20 x 0,5 L ",rewe,0.108,1181,0.79,100 ml,"Dose 0,5L",aldi-sued,0.158
22,601,Red Bull Energy Drink,0.85,100 ml,Dose 250 ML,rewe,0.34,1311,1.69,100 Gramm,Packung 420 Gramm,aldi-sued,0.4
23,602,Havana Club Anejo 3 Anos 3 Jahre,10.99,100 ml,Flasche Glas 0.7 L,rewe,1.5699999999999998,474,4.99,100 Gramm,Beutel 450 Gramm,aldi-sued,1.109
24,604,Rotkäppchen Sekt Halbtrocken,2.69,100 ml,Flasche Glas 0.75 L,rewe,0.359,218,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532
25,656,Rocher Pralinen,2.29,100 Gramm,"Packung 200 Gramm, 16 Stück",rewe,1.15,257,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-sued,1.75
