,Name,Price,Price per,Unit,Packet Size,Supermarket
2367,Sonnen Bassermann Gulaschsuppe Wiener Art,"0,99 €","0,28 €",Preis pro 100 Gramm,(Packung 350 Gramm),kaufland
2368,Glutano  Breakfast Pops,"1,29 €","3,23 €",Preis pro 1 Liter,(Dose 400 ML),kaufland
2369,Homann Salat Buffet Kräuter Fleischsalat mit knackigen Gurken,"2,69 €","1,08 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
2370,Bamboo Garden  Sesam-Öl,"1,39 €","0,70 €",Preis pro 100 Gramm,(Becher 200 Gramm),kaufland
2371,Buss  Gutsherrentopf,"4,79 €","0,96 €",Preis pro 100 ml,(Flasche (Glas) 500 ML),kaufland
2372,Buss Holzfällertopf,"1,99 €","2,49 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland
2373,Buss Chicklets & Curry-Reis,"1,99 €","2,49 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland
2374,Buss  Hühnchen Tikka,"1,19 €","0,40 €",Preis pro 100 Gramm,(Schale 300 Gramm),kaufland
2375,Buss Putenmedaillons mit Kartoffeln in cremiger Sauce,"1,19 €","0,40 €",Preis pro 100 Gramm,(Schale 300 Gramm),kaufland
2376,Gewiko Chop Suey,"1,19 €","0,40 €",Preis pro 100 Gramm,(Schale 300 Gramm),kaufland
2377,Gewiko Hühner - Frikassee,"2,19 €","0,59 €",Preis pro 100 Gramm,(Schale 370 Gramm),kaufland
2378,"Homann feiner Nudelsalat mit Fleischbrät, Ei und Erbsen","2,19 €","4,56 €",Preis pro 1 KG,(Packung 480 Gramm),kaufland
2379,Homann Salat Buffet Geflügelsalat Hawaii,"0,49 €","3,27 €",Preis pro 1 KG,(Becher 150 Gramm),kaufland
2380,Brandt Der Markenzwieback,"1,69 €","0,85 €",Preis pro 100 Gramm,(Becher 200 Gramm),kaufland
2381,"Müller Wackel Pudding Waldmeistergeschmack,  4 x 125 g","0,86 €","0,38 €",Preis pro 100 Gramm,(Packung 225 Gramm),kaufland
2382,Appel Heringsfilets Tomate & Curry,"0,89 €","1,78 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2383,Appel Heringsfilets in Piri-Mango-Creme,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
2384,Appel Hering zarte Filets in Dill-Kräuter-Creme,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
2385,Appel Sardinen Madeleine rot,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
2386,Iglo Suppengemüse mit würziger Gemüsebrühe,"1,99 €","1,90 €",Preis pro 100 Gramm,(Dose 105 Gramm),kaufland
2387,Pfanni Stampf Kartoffeln für 2-3 Portionen,"1,49 €","3,31 €",Preis pro 1 KG,(Packung 450 Gramm),kaufland
2388,Powerade Sportswater Grapefruit,"1,39 €","16,35 €",Preis pro 1 KG,(Packung 85 Gramm),kaufland
2389,Rügen Fisch Bücklingsfilets in feinem Pflanzenöl und eigenem Saft,"0,89 €","1,78 €",Preis pro 1 Liter,(Sportflasche 500 ML),kaufland
2390,Rügen Fisch Räuchercocktail,"1,39 €","0,73 €",Preis pro 100 Gramm,(Dose 190 Gramm),kaufland
2391,"Rügen Fisch Pfeffermakrelenfilets geräuchert, mit Pfeffer in Aufguss","1,79 €","0,94 €",Preis pro 100 Gramm,(Dose 190 Gramm),kaufland
2392,Iglo Erbsen und Karotten Fein & knackig,"1,79 €","0,90 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
2393,Ehrmann Cremighurt Garten-Erdbeere Stracciatella,"1,49 €","3,31 €",Preis pro 1 KG,(Packung 450 Gramm),kaufland
2394,Kühne Vitasur Original Apfelessig Kur,"0,79 €","3,16 €",Preis pro 1 KG,(Packung 250 Gramm),kaufland
2395,Maggi Schnelle Pfanne Karibik,"2,49 €","3,32 €",Preis pro 1 Liter,(Flasche (Glas) 750 ML),kaufland
2396,Hawesta extra zarte Heringsfilets in Toskana-Sauce,"1,15 €","1,85 €",Preis pro 100 ml,(Packung 62 ML),kaufland
2397,Du Darfst Kasseler Schulterbraten 2% Fett,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
2398,Grafschafter Birnenschmaus,"2,45 €","6,13 €",Preis pro 1 KG,(Packung 400 Gramm),kaufland
2399,Schneekoppe Leinsamen geschrotet,"1,59 €","0,35 €",Preis pro 100 Gramm,(Glas 450 Gramm),kaufland
2400,"Müller Frucht Buttermilch Kirsch-Banane, 0.6% Fett","1,19 €","5,95 €",Preis pro 1 KG,(Packung 200 Gramm),kaufland
2401,Saupiquet Thunfisch-Filets in Sonnenblumenöl,"0,99 €","1,98 €",Preis pro 1 KG,(Flasche 500 Gramm),kaufland
2402,Nadler Krabbensalat in feiner Salatcreme,"2,39 €","1,29 €",Preis pro 100 Gramm,(Dose 185 Gramm),kaufland
2403,Müllers Bio Leberwurst nach Hausmacher Art,"1,89 €","1,26 €",Preis pro 100 Gramm,(Packung 150 Gramm),kaufland
2404,Storck Mint Chocs,"2,39 €","1,49 €",Preis pro 100 Gramm,(Glas 160 Gramm),kaufland
2405,Müllers Bio Heidefrühstück,"1,69 €","0,40 €",Preis pro 100 Gramm,(Beutel 425 Gramm),kaufland
2406,Müllers Bio Zwiebelwurst gekocht,"2,39 €","1,49 €",Preis pro 100 Gramm,(Glas 160 Gramm),kaufland
2407,Vadossi Oma Hartmanns Kalter Hund,"2,39 €","1,49 €",Preis pro 100 Gramm,(Glas 160 Gramm),kaufland
2408,Müllers Mühle Perl Sago,"2,59 €","1,48 €",Preis pro 100 Gramm,(Packung 175 Gramm),kaufland
2409,Seeberger Bohnen weiß extra groß,"1,89 €","0,63 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
2410,Suppina Tempo Linsen 10 Min. Kochzeit,"1,89 €","3,78 €",Preis pro 1 KG,(Beutel 500 Gramm),kaufland
2411,Geramont Le Snack,"1,49 €","6,62 €",Preis pro 1 KG,(Packung 225 Gramm),kaufland
2412,Bresso Frischkäse Mediterrane Kräuter,"1,99 €","1,33 €",Preis pro 100 Gramm,(Becher 150 Gramm),kaufland
2413,"Wagner Original Piccolinis Tomate Mozarella, 9 Stück","1,69 €","1,69 €",Preis pro 100 Gramm,(Packung 100 Gramm),kaufland
2414,Wiesenhof Geflügelsalami Pepper mit Pflanzenfett,"1,69 €","1,69 €",Preis pro 100 Gramm,(Packung 100 Gramm),kaufland
2415,Schogetten Alpenvollmilch-Nuss,"0,89 €","0,89 €",Preis pro 100 Gramm,(Tafel 100 Gramm),kaufland
2416,Vanish Oxi Action Power Shampoo Teppichreiniger,"4,45 €","5,93 €",Preis pro 1 Liter,(Flasche (Kunststoff) 750 ML),kaufland
