,Name,Price,Price per,Unit,Packet Size,Supermarket
74,K Classic Fischstäbchen,"1,99 €","4,42 €",Preis pro 1 KG,(Packung 450 Gramm),kaufland
75,Original Wagner Steinofen Pizza Speciale,"2,29 €","0,65 €",Preis pro 100 Gramm,(Packung 350 Gramm),kaufland
76,Langnese Cremissimo Bourbon Vanille,"3,29 €","3,29 €",Preis pro 1 Liter,(Packung 1000 ML),kaufland
77,Philadelphia Doppelrahmstufe Original,"1,49 €","0,85 €",Preis pro 100 Gramm,(Packung 175 Gramm),kaufland
78,"Weihenstephan Rahmjoghurt cremig-mild Erdbeere, 10 % Fett","0,65 €","0,43 €",Preis pro 100 Gramm,(Becher 150 Gramm),kaufland
79,Lorenz Saltletts Sticks,"1,79 €","0,72 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
80,Langnese Viennetta Vanille,"1,99 €","3,06 €",Preis pro 1 Liter,"(Packung 650 ML, 30 % mehr Inhalt)",kaufland
81,Kinder Pingui Schoko,"1,99 €","0,83 €",Preis pro 100 Gramm,"(Family Pack 240 Gramm, 8 x 30 g)",kaufland
82,Krombacher Pils,"14,80 €","1,48 €",Preis pro 1 Liter,"(Kasten 10 L, 20 x 0,5 L )",kaufland
83,Pepsi Cola Classic koffeinhaltig,"0,99 €","0,66 €",Preis pro 1 Liter,(Pet-Flasche 1.5 L),kaufland
84,"Bauer Der grosse Bauer Erdbeere,  3,5 % Fett","0,69 €","0,28 €",Preis pro 100 Gramm,(Becher 250 Gramm),kaufland
85,Granini Trinkgenuss Orange Fruchtgehalt: 100%,"1,79 €","1,79 €",Preis pro 1 Liter,(Pet-Flasche 1 L),kaufland
86,Wiesenhof Hähnchen Schenkel ungewürzt,"2,99 €","2,99 €",Preis pro 1 KG,(Beutel 1000 Gramm),kaufland
87,Weihenstephan Frischer Alpenschlagrahm extra schlagfähig,"2,49 €","0,50 €",Preis pro 100 Gramm,(Getränkekarton 500 Gramm),kaufland
88,Henkell Trocken,"4,99 €","6,65 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),kaufland
89,Rotkäppchen Sekt Halbtrocken,"3,99 €","5,32 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),kaufland
90,Trumpf Edle Tropfen in Nuss Obstbrände,"2,49 €","1,00 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
91,Rocher Pralinen,"3,49 €","1,75 €",Preis pro 100 Gramm,"(Packung 200 Gramm, 16 Stück)",kaufland
92,Schwip Schwap Cola + Orange mit Zucker,"0,99 €","0,66 €",Preis pro 1 Liter,(Pet-Flasche 1.5 L),kaufland
93,Escal King Prawns Provencal,"3,99 €","1,60 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
94,Mövenpick Eiscreme Bourbon Vanille,"2,99 €","3,32 €",Preis pro 1 Liter,(Packung 900 ML),kaufland
95,Bitburger Premium Pils,"14,60 €","1,46 €",Preis pro 1 Liter,"(Kasten 10 L, 20 x 0,5 L)",kaufland
96,Ferrero Kinder Choco Fresh 5 x 21 g,"1,59 €","1,51 €",Preis pro 100 Gramm,"(Packung 105 Gramm, 5 Stück)",kaufland
97,Landliebe Grieß Pudding Traditionell,"0,79 €","0,53 €",Preis pro 100 Gramm,(Becher 150 Gramm),kaufland
98,K Classic Gnocchi Kartoffelklößchen nach italienischer Art,"1,19 €","1,98 €",Preis pro 1 KG,(Beutel 600 Gramm),kaufland
99,Rio Plata Brasilianisches Corned Beef,"3,29 €","0,97 €",Preis pro 100 Gramm,(Dose 340 Gramm),kaufland
100,Ferrero Küsschen,"2,99 €","1,68 €",Preis pro 100 Gramm,"(Packung 178 Gramm, 20 Stück)",kaufland
101,Hengstenberg Knax Gewürzgurken,"1,89 €","2,63 €",Preis pro 1 Liter,(Glas 720 ML),kaufland
102,"Müller Frucht Buttermilch Erdbeere, 0.6% Fett","0,99 €","1,98 €",Preis pro 1 KG,(Flasche 500 Gramm),kaufland
103,Ehrmann Obstgarten Erdbeere,"0,49 €","0,39 €",Preis pro 100 Gramm,(Packung 125 Gramm),kaufland
104,Tillmans Kebab aus Rindfleisch - tiefgefroren,"2,59 €","5,18 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
105,John West Thunfischfilets Natur ohne Öl,"1,99 €","1,24 €",Preis pro 100 Gramm,(Dose 160 Gramm),kaufland
106,Meggle Trüffel-Butter,"3,49 €","4,36 €",Preis pro 100 Gramm,(Glas 80  Gramm),kaufland
107,Milka Alpenmilch Schokolade,"1,09 €","1,09 €",Preis pro 100 Gramm,(Tafel 100  Gramm),kaufland
108,Punica Classics Nektar Multivitamin 17+4,"1,59 €","1,06 €",Preis pro 1 Liter,(Pet-Flasche 1500 ML),kaufland
